ms 145 1 -N 4975360.0 -t 19.90144 -I 3 0 0 145 -n 2 0.100495240545 -g 2 -0.0 -n 3 0.223099434011 -g 3 -0.0 -es 7.26299087275e-05 3 0.85 -ej 7.26299087275e-05 3 2 -ej 7.26299087275e-05 4 1 -ej 0.00979750510394 2 1 -en 0.119150674524 1 0.000123929726062 -en 0.119200922144 1 1.04999437227 -r 99.5072 1000 -SAA 2054667.04053 -SaA 1027333.52027 -SI 2.53702015431e-05 3 0 0 4.5045045045e-07 -SFC -Smu 10.0 -Sp 0.5 -oTrace  [3.2rc Build:162]
0x4af7889c528a6e61

//
Frequency Trace:

2.537504823771546E-5	1.0	0.0	1.0	0.0	0.9999995495495495	4.5045045045E-7	
2.5324800617442758E-5	0.9999992965333162	7.034666838178544E-7	1.0	0.0	0.9999981981990098	1.801800990179734E-6	
2.5274552997170054E-5	0.9999992965333162	7.034666838178544E-7	0.999999	1.0E-6	0.9999968468482672	3.153151732814535E-6	
2.522430537689735E-5	0.9999985930666324	1.4069333676357089E-6	0.999998	2.0E-6	0.9999963963980196	3.603601980359468E-6	
2.5174057756624648E-5	0.9999976886094675	2.3113905325443787E-6	0.999996	4.0E-6	0.9999959459477721	4.054052227904402E-6	
2.512381013635194E-5	0.9999965831618215	3.416838178543864E-6	0.999995	5.0E-6	0.9999954954975245	4.504502475449335E-6	
2.5073562516079237E-5	0.9999956787046566	4.321295343452534E-6	0.99999	1.0E-5	0.9999923423457917	7.65765420826387E-6	
2.5023314895806534E-5	0.999994271771289	5.728228711088243E-6	0.999986	1.4E-5	0.999990090094554	9.909905445988537E-6	
2.497306727553383E-5	0.9999936687998456	6.3312001543606895E-6	0.999983	1.7E-5	0.9999846846915835	1.531530841652774E-5	
2.4922819655261127E-5	0.9999925633521997	7.436647800360175E-6	0.999985	1.5E-5	0.999984234241336	1.5765758664072674E-5	
2.4872572034988424E-5	0.9999902519616671	9.748038332904554E-6	0.999982	1.8E-5	0.9999819819900982	1.801800990179734E-5	
2.482232441471572E-5	0.9999873375996913	1.2662400308721379E-5	0.999986	1.4E-5	0.999979279288613	2.072071138706694E-5	
2.4772076794443013E-5	0.9999847247234371	1.527527656290198E-5	0.999986	1.4E-5	0.9999770270373752	2.297296262479161E-5	
2.472182917417031E-5	0.9999828153138668	1.7184686133264727E-5	0.999985	1.5E-5	0.9999738738856424	2.6126114357606145E-5	
2.4671581553897606E-5	0.9999800014471315	1.9998552868536146E-5	0.999985	1.5E-5	0.9999639639801964	3.603601980359468E-5	
2.4621333933624903E-5	0.9999764841137124	2.3515886287625417E-5	0.999983	1.7E-5	0.9999626126294537	3.738737054622948E-5	
2.45710863133522E-5	0.9999744742089015	2.5525791098533575E-5	0.999978	2.2E-5	0.9999549549752456	4.5045024754493357E-5	
2.4520838693079496E-5	0.9999718613326473	2.8138667352714174E-5	0.999965	3.5E-5	0.9999481982215324	5.180177846766736E-5	
2.4470591072806793E-5	0.9999683439992282	3.165600077180345E-5	0.999962	3.8E-5	0.9999414414678192	5.855853218084136E-5	
2.442034345253409E-5	0.9999640227038847	3.5977296115255984E-5	0.999958	4.2E-5	0.9999369369653437	6.30630346562907E-5	
2.4370095832261382E-5	0.9999619123038332	3.808769616670954E-5	0.999952	4.8E-5	0.9999360360648486	6.396393515138056E-5	
2.431984821198868E-5	0.999957992989452	4.200701054798045E-5	0.999955	4.5E-5	0.9999283784106403	7.162158935964443E-5	
2.4269600591715976E-5	0.9999537721893491	4.622781065088757E-5	0.999943	5.7E-5	0.9999220721071748	7.79278928252735E-5	
2.4219352971443272E-5	0.9999489484178029	5.105158219706715E-5	0.999927	7.3E-5	0.9999130631022238	8.693689777617218E-5	
2.416910535117057E-5	0.9999431196938513	5.6880306148700796E-5	0.999914	8.6E-5	0.9998986486943023	1.0135130569761005E-4	
2.4118857730897865E-5	0.9999398033509133	6.0196649086699256E-5	0.999918	8.2E-5	0.9998887387888564	1.1126121114359858E-4	
2.4068610110625162E-5	0.9999315627411886	6.843725881142269E-5	0.999921	7.9E-5	0.9998855856371236	1.1441436287641311E-4	
2.4018362490352455E-5	0.9999217142076151	7.828579238487266E-5	0.999927	7.3E-5	0.9998729730301923	1.2702696980767126E-4	
2.396811487007975E-5	0.9999085493311036	9.145066889632106E-5	0.999914	8.6E-5	0.9998572072715283	1.4279272847174393E-4	
2.3917867249807048E-5	0.9998940780164651	1.0592198353485979E-4	0.999906	9.4E-5	0.9998328829581609	1.6711704183917033E-4	
2.3867619629534345E-5	0.9998786017494211	1.2139825057885258E-4	0.9999	1.0E-4	0.9998252253039526	1.7477469604743423E-4	
2.381737200926164E-5	0.9998657383586314	1.3426164136866477E-4	0.99989	1.1E-4	0.9998072072940508	1.9279270594923156E-4	
2.3767124388988938E-5	0.9998503625868279	1.4963741317211216E-4	0.999892	1.08E-4	0.99977432442598	2.256755740200117E-4	
2.3716876768716234E-5	0.9998333788911757	1.6662110882428608E-4	0.999888	1.12E-4	0.9997635136200389	2.364863799610901E-4	
2.366662914844353E-5	0.9998117724144584	1.8822758554154875E-4	0.999873	1.27E-4	0.9997360361549387	2.6396384506133106E-4	
2.3616381528170824E-5	0.9997905679187034	2.0943208129662978E-4	0.99986	1.4E-4	0.9997094595903335	2.9054040966648215E-4	
2.356613390789812E-5	0.9997609218227425	2.3907817725752508E-4	0.999829	1.71E-4	0.9996626127645889	3.373872354111552E-4	
2.3515886287625417E-5	0.9997343910792384	2.6560892076151274E-4	0.999823	1.77E-4	0.9996355857497361	3.644142502638512E-4	
