001	12	12	37	383	1.35967874973996e-09	8.11e-09
005	12	12	37	273	1.35275394315829e-09	1.587e-08
010	12	12	37	349	1.65192363849604e-09	4.86e-09
017	12	12	37	791	1.1459642878712e-09	5.85e-09
018	12	12	37	524	1.87076267682892e-09	1.587e-08
022	12	12	37	646	8.13225879734448e-10	1.291e-08
025	12	12	37	602	4.71493005502596e-10	1.291e-08
026	12	12	37	638	6.31956440838591e-10	1.291e-08
032	12	12	37	636	5.61432071163083e-10	1.291e-08
038	10	12	37	445	1.85390915176929e-09	1.291e-08
045	11	12	37	521	5.36161396574439e-10	2.45e-08
046	12	12	37	600	7.6125755282458e-10	2.45e-08
054	12	12	37	420	1.22334803191053e-09	2.738e-08
055	12	11	37	681	1.14486521589638e-09	2.738e-08
056	12	12	37	326	3.875494425864e-10	3.29e-08
057	11	12	37	593	9.17318128707791e-10	2.738e-08
060	12	12	37	682	1.89348200670544e-09	2.983e-08
066	12	12	37	377	9.72828045274883e-10	4.369e-08
067	12	12	37	660	9.06171166122383e-10	4.369e-08
072	12	12	37	449	8.74457971362126e-10	4.707e-08
073	12	12	37	593	1.68403152506737e-09	4.634e-08
076	12	12	37	557	9.71547380137239e-10	3.29e-08
077	12	10	37	595	1.73244039156027e-09	3.29e-08
078	12	12	37	614	1.06273174756947e-09	3.29e-08
080	12	10	37	606	1.19945273896343e-09	3.549e-08
081	12	12	37	592	6.2775302584083e-10	3.549e-08
084	11	12	37	622	9.88087067936441e-10	3.883e-08
085	12	12	37	648	1.14868302332791e-09	3.883e-08
090	12	12	37	468	1.81908337751281e-09	4.611e-08
091	10	12	37	480	9.13431139419674e-10	4.723e-08
093	12	12	37	452	5.08312180483724e-10	4.723e-08
094	10	12	37	558	1.19834411919453e-09	4.723e-08
095	11	12	37	606	1.63680516657256e-09	4.723e-08
106	12	12	37	409	1.28782660092096e-09	4.707e-08
109	11	12	37	608	6.83399816633389e-10	4.492e-08
115	12	12	37	400	1.52904837163419e-09	2.71e-08
116	12	12	37	581	8.24074752964428e-10	2.71e-08
117	9	10	37	660	1.49232731696238e-09	2.447e-08
118	12	12	37	569	5.03566176255307e-10	2.447e-08
119	12	12	37	307	2.43919717420139e-09	2.447e-08
120	12	12	37	499	8.06993101825711e-10	2.178e-08
122	12	11	37	590	2.86260628019324e-10	1.926e-08
125	12	12	37	290	1.29301376811594e-09	1.601e-08
126	12	12	37	619	1.41552784872133e-09	1.601e-08
130	12	12	37	603	1.22451645605358e-09	1.601e-08
133	11	12	37	629	2.48530002291344e-10	1.601e-08
136	12	12	37	421	1.22716618919773e-09	1.461e-08
137	12	12	37	470	1.71947611342332e-09	1.461e-08
138	12	12	37	357	1.27793701594711e-09	1.486e-08
139	12	12	37	362	1.78242143508665e-09	1.486e-08
143	12	12	37	527	8.2261813485445e-10	1.68e-08
150	12	12	37	423	1.2249964178492e-09	1.93e-08
153	12	12	37	491	8.37523628735872e-10	2.15e-08
157	12	12	37	359	5.37653257682011e-10	3.009e-08
160	12	12	37	268	1.79033753748982e-09	3.009e-08
163	12	12	37	664	1.6483483428464e-09	3.638e-08
165	12	12	37	317	2.08353315306574e-09	3.638e-08
166	12	12	37	619	7.1407124908143e-10	3.638e-08
167	12	11	37	627	9.50804682307641e-10	4.175e-08
169	12	12	37	322	1.62634803997057e-09	4.175e-08
170	10	12	37	564	1.12838552873789e-09	4.508e-08
173	12	12	37	499	6.05777797884554e-10	3.536e-08
175	12	12	37	623	8.79562640901774e-10	3.536e-08
