param_Ne	param_log_time_split_AfrEur	param_log_time_admixture	param_log_time_Afr_ex	param_log_severity	param_Ne_Afr_anc	param_Ne_Eur	param_log_Ne_Eur_bn	param_Ne_Ame	param_log_Ne_Ame_bn	param_proportion_admixture
1.23007e+07	5.75929	3.37485	6.08882	-1.46107	1.49043e+06	3.75778e+06	4.7572	2.8304e+07	3.01087	0.565957
1.09065e+07	5.03564	2.07853	6.56428	0.94704	1.72056e+07	3.64997e+06	3.93118	2.08622e+07	2.58156	0.556204
1.18436e+07	4.00647	3.5321	6.53687	1.56915	1.09866e+07	848893	3.60698	7.35804e+06	3.08277	0.495863
1.95316e+07	5.03372	3.26789	6.37604	0.853705	9.56694e+06	6.34839e+06	4.23183	855590	3.67523	0.435611
1.31525e+07	5.6612	3.75792	6.39313	1.82621	1.18884e+07	3.79517e+06	4.75383	2.22236e+07	3.76586	0.617506
1.04988e+07	4.12654	2.4365	6.33089	0.412959	4.76505e+06	197382	3.71409	1.21553e+07	2.41578	0.170128
1.34956e+07	4.86994	2.68062	6.50103	0.235853	2.29447e+06	1.5851e+06	3.47819	997012	4.40316	0.711957
8.91775e+06	5.87468	3.59994	6.44268	-0.973162	1.67911e+06	2.95651e+06	4.66847	7.13733e+06	4.27261	0.761431
1.95977e+07	4.405	3.09684	6.2248	-0.478798	2.5191e+06	2.68799e+06	4.01609	6.8748e+06	2.67808	0.471029
8.6631e+06	4.64669	2.08563	6.58546	1.98107	1.46531e+07	8.98335e+06	3.49421	2.75741e+07	4.44092	0.649604
1.6489e+07	4.24428	2.20814	6.71002	0.893574	1.22925e+07	1.11417e+06	3.48293	1.41475e+07	3.66956	0.799463
9.54396e+06	5.97944	2.22565	6.52935	1.95026	1.29449e+07	9.96297e+06	4.77594	5.87067e+06	3.63206	0.833257
1.72979e+07	5.3621	3.4876	6.51505	1.51376	1.03789e+07	8.88399e+06	4.96408	7.40697e+06	3.03723	0.789367
1.04011e+07	4.55369	2.52861	6.6476	1.99759	7.45785e+06	3.9596e+06	4.32459	1.08239e+07	2.19227	0.209357
9.50348e+06	5.03616	2.80865	6.4238	-0.221447	1.16035e+06	8.05065e+06	4.22329	2.65074e+07	2.09345	0.897617
7.8963e+06	5.87958	3.57989	6.82006	1.79811	8.2729e+06	5.7029e+06	4.88273	1.95033e+06	4.63602	0.824697
1.04966e+07	5.07693	3.24214	5.93055	-1.93747	2.04073e+06	1.92031e+06	4.14317	4.05225e+06	2.47031	0.556232
8.02654e+06	4.64039	3.32141	6.4558	1.61926	6.5155e+06	6.97572e+06	3.74968	8.87135e+06	3.44645	0.705542
3.15016e+06	5.6153	3.29209	5.97115	-1.55339	3.29029e+06	6.64254e+06	4.81424	1.45888e+07	2.34319	0.369249
1.78052e+07	5.87721	2.38338	6.15153	0.578874	1.24977e+07	9.12979e+06	4.94616	2.51706e+07	2.0334	0.618182
1.85017e+07	5.88926	2.3204	5.96833	-1.1619	2.37916e+06	3.43365e+06	4.44202	6.16701e+06	2.14433	0.768947
8.7101e+06	5.12058	2.4352	6.55402	1.44039	1.19862e+07	5.00753e+06	4.29894	4.01574e+06	3.47195	0.843281
1.60551e+07	4.39196	2.10202	6.12305	-1.78054	2.55867e+06	6.44395e+06	3.81697	2.55453e+07	2.20702	0.732607
1.34072e+07	5.08216	3.36614	6.52932	1.99834	6.8955e+06	8.56662e+06	4.32868	1.59446e+07	4.40276	0.514158
5.62208e+06	4.34429	2.99558	6.81306	1.68776	1.6818e+07	8.17422e+06	3.17735	2.38021e+07	2.38531	0.16743
4.74494e+06	5.82465	3.12142	6.66857	0.446996	5.88914e+06	9.47962e+06	4.77642	1.29314e+07	2.34798	0.240779
9.25333e+06	4.75527	3.21484	6.74966	1.23947	72673.7	400131	4.36196	2.61025e+07	4.01564	0.781406
1.37037e+07	5.27583	2.71755	6.11686	-1.25108	1.22046e+06	5.54231e+06	4.66021	2.91618e+07	2.64866	0.835797
6.1262e+06	4.53777	3.84665	6.67891	0.785664	1.66715e+07	6.15929e+06	3.63669	1.05747e+07	3.56058	0.197921
3.10765e+06	6.07085	3.486	6.80135	-1.83788	4.15117e+06	3.60969e+06	3.98388	2.94428e+07	4.7699	0.930554
1.97001e+07	4.58296	3.3016	6.50318	1.1278	7.81213e+06	2.9065e+06	3.93115	795047	3.5717	0.550658
1.45903e+07	5.91462	3.37747	6.11281	-1.39805	1.19625e+06	5.4927e+06	4.92647	5.10499e+06	3.72264	0.70473
6.33827e+06	4.94373	3.71254	5.86008	-1.53222	2.84175e+06	908474	3.85487	2.94568e+07	2.98238	0.677719
1.3215e+07	5.94383	3.24245	6.63849	1.85816	1.43279e+07	7.81338e+06	4.9141	4.96751e+06	4.24167	0.762045
6.23583e+06	5.55311	3.76998	6.79333	0.895488	1.6893e+07	9.94944e+06	4.76644	2.14849e+06	3.87009	0.566148
6.991e+06	4.39618	3.66623	6.81733	1.63718	1.05084e+07	7.68289e+06	3.56563	951365	4.84449	0.976638
1.39258e+07	5.09491	2.21504	6.5564	0.458936	9.20875e+06	2.04308e+06	4.39413	2.20164e+07	3.13713	0.635861
1.343e+07	5.38708	3.79018	5.93019	-0.974661	2.30978e+06	3.51184e+06	4.39678	2.47725e+07	4.52824	0.866812
7.91779e+06	4.7035	2.96694	6.66708	1.15318	1.13285e+07	6.8642e+06	4.03576	8.16722e+06	2.38577	0.386766
1.4393e+07	4.02715	3.73855	6.6021	0.136949	407134	256210	2.78638	1.17297e+06	4.71616	0.744206
1.6355e+07	4.38494	3.19463	6.33019	-0.066895	1.74011e+06	6.85159e+06	3.87174	1.63701e+07	3.136	0.726518
1.85017e+07	5.88926	2.3204	5.96833	-1.1619	2.37916e+06	3.43365e+06	4.44202	6.16701e+06	2.14433	0.768947
1.50242e+07	6.20822	3.33286	6.31631	0.206826	3.95664e+06	1.68009e+06	2.67822	1.6466e+07	3.62891	0.830711
1.33751e+06	4.72735	3.49037	5.50385	-0.910831	3.90402e+06	2.86256e+06	3.48788	1.30002e+07	2.89195	0.689682
1.19315e+07	5.0552	2.93778	6.70917	1.28944	4.54534e+06	5.66953e+06	4.32449	868549	2.23515	0.534269
1.54479e+07	4.55774	2.99944	6.5723	1.36879	5.74952e+06	8.7348e+06	4.06374	2.48702e+07	3.36938	0.63866
1.25056e+07	5.54383	2.56663	5.99602	-1.76033	2.45181e+06	6.0234e+06	4.28158	4.52686e+06	3.47705	0.913405
8.56002e+06	6.34612	2.81246	6.47076	0.53814	6.77133e+06	8.84621e+06	4.08583	2.8836e+07	4.28471	0.89859
8.2893e+06	5.41428	3.73366	6.4214	-0.167218	1.45235e+06	702511	4.83563	2.7828e+07	3.72334	0.925184
1.09348e+07	4.48104	3.87555	6.64922	1.67025	2.14514e+06	3.1785e+06	3.41403	5.90664e+06	3.70868	0.646261
1.4517e+07	6.20355	3.22272	6.52215	0.904067	6.38819e+06	1.14168e+06	4.04649	2.37698e+07	4.79849	0.679676
1.6489e+07	4.24428	2.20814	6.71002	0.893574	1.22925e+07	1.11417e+06	3.48293	1.41475e+07	3.66956	0.799463
1.2629e+07	5.62176	2.49056	6.45491	0.681364	1.40734e+07	3.94339e+06	4.97525	279428	4.72276	0.759433
